0,1,Move,1-1-9,1-1-9 4-1-2 8-1-3 8-1-6 10-1-2
0,2,Move,1-1-8,1-1-8 2-1-1 4-1-2 8-1-3 8-1-6 10-1-2
0,3,Move,1-1-4,1-1-4 1-1-10 2-1-8 4-1-2 5-1-1 7-1-1 8-2-3 8-2-6 10-1-2
0,4,Move,1-1-2,1-1-2 2-1-8 5-1-4 7-1-4 8-2-3 8-2-6 10-1-2
0,5,Move,1-1-4,1-1-4 5-1-4 7-1-4 8-2-3 8-2-6
0,6,Move,8-2-3,8-2-3 8-2-6 9-2-1
0,7,Move,8-1-6,8-1-6 9-2-1
0,8,Move,2-1-8,2-1-8 8-1-3 9-2-1 10-1-8
0,9,Move,2-1-3,2-1-3 8-2-3 9-2-1 10-1-2
0,10,Move,2-1-9,2-1-9 9-2-1 10-1-3
0,11,Move,10-1-2,10-1-2 10-1-3
0,12,Move,4-1-10,4-1-10 5-1-10 7-1-10 10-1-2 10-1-8
0,13,Move,5-1-4,5-1-4 7-1-4 10-2-2 10-2-8
0,14,Move,1-1-5,1-1-5 10-2-2 10-2-8
0,15,Move,10-2-2,10-2-2 10-2-8
0,16,Move,10-1-5,10-1-5
0,17,Move,8-1-3,8-1-3
0,18,Move,3-1-8,3-1-8
0,19,Move,8-1-3,8-1-3
0,20,Move,3-1-8,3-1-8
0,21,Move,8-1-3,8-1-3
0,22,Move,3-1-8,3-1-8
0,23,Move,8-1-3,8-1-3
0,24,Move,3-1-8,3-1-8
0,25,Move,8-1-3,8-1-3
0,26,Move,3-1-8,3-1-8
0,27,Move,8-1-3,8-1-3
0,28,Move,3-1-8,3-1-8
0,29,Move,8-1-3,8-1-3
0,30,Move,3-1-8,3-1-8
0,31,Move,8-1-3,8-1-3
0,32,Move,3-1-8,3-1-8
0,33,Move,8-1-3,8-1-3
0,34,Move,3-1-8,3-1-8
0,35,Move,8-1-3,8-1-3
0,36,Move,3-1-8,3-1-8
0,37,Move,8-1-3,8-1-3
0,38,Move,3-1-8,3-1-8
0,39,Move,8-1-3,8-1-3
0,40,Move,3-1-8,3-1-8
0,41,Move,8-1-3,8-1-3
0,42,Move,3-1-8,3-1-8
0,43,Move,8-1-3,8-1-3
0,44,Move,3-1-8,3-1-8
0,45,Move,8-1-3,8-1-3
0,46,Move,3-1-8,3-1-8
0,47,Move,8-1-3,8-1-3
0,48,Move,3-1-8,3-1-8
0,49,Move,8-1-3,8-1-3
0,50,Move,3-1-8,3-1-8
0,51,Move,8-1-3,8-1-3
0,52,Move,3-1-8,3-1-8
0,53,Move,8-1-3,8-1-3
0,54,Move,3-1-8,3-1-8
0,55,Move,8-1-3,8-1-3
0,56,Move,3-1-8,3-1-8
0,57,Move,8-1-3,8-1-3
0,58,Move,3-1-8,3-1-8
0,59,Move,8-1-3,8-1-3
0,60,Move,3-1-8,3-1-8
0,61,Move,8-1-3,8-1-3
0,62,Move,3-1-8,3-1-8
0,63,Move,8-1-3,8-1-3
0,64,Move,3-1-8,3-1-8
0,65,Move,8-1-3,8-1-3
0,66,Move,3-1-8,3-1-8
0,67,Move,8-1-3,8-1-3
0,68,Move,3-1-8,3-1-8
0,69,Move,8-1-3,8-1-3
0,70,Move,3-1-8,3-1-8
0,71,Move,8-1-3,8-1-3
0,72,Move,3-1-8,3-1-8
0,73,Move,8-1-3,8-1-3
0,74,Move,3-1-8,3-1-8
0,75,Move,8-1-3,8-1-3
0,76,Move,3-1-8,3-1-8
0,77,Move,8-1-3,8-1-3
0,78,Move,3-1-8,3-1-8
0,79,Move,8-1-3,8-1-3
0,80,Move,3-1-8,3-1-8
0,81,Move,8-1-3,8-1-3
0,82,Move,3-1-8,3-1-8
0,83,Move,8-1-3,8-1-3
0,84,Move,3-1-8,3-1-8
0,85,Move,8-1-3,8-1-3
0,86,Move,3-1-8,3-1-8
0,87,Move,8-1-3,8-1-3
0,88,Move,3-1-8,3-1-8
0,89,Move,8-1-3,8-1-3
0,90,Move,3-1-8,3-1-8
0,91,Move,8-1-3,8-1-3
0,92,Move,3-1-8,3-1-8
0,93,Move,8-1-3,8-1-3
0,94,Move,3-1-8,3-1-8
0,95,Move,8-1-3,8-1-3
0,96,Move,3-1-8,3-1-8
0,97,Move,8-1-3,8-1-3
0,98,Move,3-1-8,3-1-8
0,99,Move,8-1-3,8-1-3
0,100,Move,3-1-8,3-1-8
0,101,Move,8-1-3,8-1-3
0,102,Move,3-1-8,3-1-8
0,103,Move,8-1-3,8-1-3
0,104,Move,3-1-8,3-1-8
0,105,Move,8-1-3,8-1-3
0,106,Move,3-1-8,3-1-8
0,107,Move,8-1-3,8-1-3
0,108,Move,3-1-8,3-1-8
0,109,Move,8-1-3,8-1-3
0,110,Move,3-1-8,3-1-8
0,111,Move,8-1-3,8-1-3
0,112,Move,3-1-8,3-1-8
0,113,Move,8-1-3,8-1-3
0,114,Move,3-1-8,3-1-8
0,115,Move,8-1-3,8-1-3
0,116,Move,3-1-8,3-1-8
0,117,Move,8-1-3,8-1-3
0,118,Move,3-1-8,3-1-8
0,119,Move,8-1-3,8-1-3
0,120,Move,3-1-8,3-1-8
0,121,Move,8-1-3,8-1-3
0,122,Move,3-1-8,3-1-8
0,123,Move,8-1-3,8-1-3
0,124,Move,3-1-8,3-1-8
0,125,Move,8-1-3,8-1-3
0,126,Move,3-1-8,3-1-8
0,127,Move,8-1-3,8-1-3
0,128,Move,3-1-8,3-1-8
0,129,Move,8-1-3,8-1-3
0,130,Move,3-1-8,3-1-8
0,131,Move,8-1-3,8-1-3
0,132,Move,3-1-8,3-1-8
0,133,Move,8-1-3,8-1-3
0,134,Move,3-1-8,3-1-8
0,135,Move,8-1-3,8-1-3
0,136,Move,3-1-8,3-1-8
0,137,Move,8-1-3,8-1-3
